ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo ,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA
21,F       ,19.886,54,TEC     ,SOL     ,19,88,SANTIAGO        ,0,300.817,0,0,585,0,0,1,700.000,SI,NO FUGA
22,F       ,560.302,47,MED     ,CAS     ,138,1,ARICA           ,0,0,0,0,9,0,0,1,2.400.000,NO,FUGA
23,M       ,9.394,51,MED     ,CAS     ,31,119,SANTIAGO        ,255.678,134.779,0,59.821,1.028,10.366,9.138,1,1.100.000,NO,FUGA
24,M       ,537.818,29,TEC     ,CAS     ,27,226,CONCEPCION      ,0,104.472,0,0,2,0,0,1,2.200.000,NO,FUGA
25,F       ,248.276,49,TEC     ,CAS     ,77,227,TALCAHUANO      ,0,733.019,0,0,20,0,376,1,1.100.000,NO,NO FUGA
26,F       ,226.727,29,MED     ,CAS     ,13,16,ANTOFAGASTA     ,387.756,167.023,0,0,377,0,0,1,1.000.000,NO,NO FUGA
27,M       ,581.593,46,TEC     ,VIU     ,55,108,SANTIAGO        ,0,504.107,0,189.115,0,0,174,0,8.000.000,NO,NO FUGA
28,M       ,171.798,52,UNV     ,CAS     ,31,119,SANTIAGO        ,0,97.745,0,0,0,0,4.921,1,2.200.000,SI,FUGA
29,M       ,1.714.426,43,UNV     ,CAS     ,16,80,SANTIAGO        ,0,212.011,0,0,0,0,21,1,4.200.000,NO,FUGA
30,F       ,14.423,39,TEC     ,SOL     ,60,253,TEMUCO          ,0,435.093,0,240.380,41,2.673,383,3,8.000.000,SI,NO FUGA
31,,1.126.011,37,TEC     ,CAS     ,52,86,SANTIAGO        ,0,533.076,0,0,0,17.581,0,0,8.000.000,NO,NO FUGA
32,M       ,26.796,41,UNV     ,SEP     ,138,1,ARICA           ,284.901,587.892,0,218.068,500,1.367,502,2,3.500.000,NO,FUGA
33,F       ,249.559,27,MED     ,CAS     ,116,131,RANCAGUA        ,228.929,0,0,0,6,0,0,1,3.700.000,NO,NO FUGA
34,M       ,2.508.956,44,MED     ,CAS     ,55,90,SANTIAGO        ,623.615,1.681.538,0,0,3.201,0,57.256,3,4.600.000,SI,FUGA
35,M       ,147.751,46,MED     ,CAS     ,31,119,SANTIAGO        ,0,175.864,0,0,47,0,0,1,1.700.000,SI,FUGA
36,M       ,234.552,52,UNV     ,CAS     ,31,119,SANTIAGO        ,0,0,0,0,313,0,0,1,2.200.000,NO,FUGA
37,F       ,189.901,46,MED     ,CAS     ,92,92,SANTIAGO        ,0,5.622,0,160.007,106,0,23,1,2.000.000,NO,FUGA
38,M       ,1.233.336,44,UNV     ,CAS     ,55,90,SANTIAGO        ,193.646,15.527,0,0,836,0,0,2,3.000.000,NO,FUGA
39,M       ,22.984,46,UNV     ,CAS     ,102,87,SANTIAGO        ,0,1.582,0,222.249,28,3.261,190,1,5.400.000,SI,FUGA
40,F       ,200.685,51,MED     ,CAS     ,124,253,TEMUCO          ,0,1.803.351,0,79,2.281,6.308,0,2,800.000,NO,NO FUGA
41,F       ,292.141,27,UNV     ,CAS     ,125,89,SANTIAGO        ,0,0,0,36.122,0,0,2,0,4.000.000,NO,NO FUGA
42,M       ,582.881,28,TEC     ,SOL     ,37,98,SANTIAGO        ,0,178.223,0,0,107,0,0,2,1.400.000,NO,FUGA
43,M       ,41.095,40,UNV     ,CAS     ,55,90,SANTIAGO        ,0,9.063,865.877,0,0,20,248,1,1.900.000,NO,FUGA
44,F       ,247.458,49,UNV     ,CAS     ,138,1,ARICA           ,364.846,90.577,0,78.091,894,0,82,1,900.000,NO,FUGA
45,M       ,123.985,49,UNV     ,CAS     ,138,1,ARICA           ,0,298.173,0,99.446,0,0,10,1,3.400.000,SI,FUGA
46,M       ,4.973,54,MED     ,SOL     ,27,226,CONCEPCION      ,0,0,0,144.490,0,2.298,207,1,2.000.000,NO,FUGA
47,F       ,2.170.313,38,UNV     ,CAS     ,21,502,CALAMA    ,0,431.838,0,0,35,0,0,1,8.000.000,NO,NO FUGA
48,M       ,628.289,47,UNV     ,CAS     ,127,104,SANTIAGO        ,0,344.058,0,0,105,0,0,2,3.400.000,NO,FUGA
49,M       ,34.232,45,UNV     ,CAS     ,122,115,SANTIAGO        ,0,118.236,0,296.748,697,35,144,2,1.300.000,SI,FUGA
50,M       ,625.999,55,TEC     ,CAS     ,16,90,SANTIAGO        ,0,0,0,2.077,348,0,415,1,5.700.000,NO,FUGA
51,M       ,27.754,46,UNV     ,CAS     ,55,90,SANTIAGO        ,645.645,859.109,0,0,360,0,0,1,4.100.000,NO,FUGA
52,M       ,213.994,40,TEC     ,CAS     ,30,98,SANTIAGO        ,458.385,1.693.416,0,371.623,1.791,0,671,3,1.900.000,NO,NO FUGA
53,F       ,53.632,53,MED     ,SOL     ,80,110,SANTIAGO        ,0,0,0,0,0,0,49,0,8.000.000,SI,NO FUGA
54,F       ,6.878.013,26,TEC     ,VIU     ,22,1,ARICA           ,0,189.575,0,41.218,1,0,0,1,1.600.000,NO,NO FUGA
55,M       ,12.215,55,MED     ,CAS     ,55,90,SANTIAGO        ,142.855,209.317,0,21.778,1.002,0,0,1,3.300.000,NO,FUGA
56,M       ,818.993,44,UNV     ,CAS     ,138,1,ARICA           ,462.287,22.546,0,805.760,742,0,480,1,1.400.000,SI,FUGA
57,M       ,456.419,29,TEC     ,SOL     ,60,287,PUERTO OCTAY    ,0,177.279,0,79.727,0,0,158,0,1.700.000,NO,NO FUGA
58,M       ,2.186.611,49,MED     ,SEP     ,123,90,SANTIAGO        ,0,77.397,0,5.089.688,2.707,12.610,2.000,2,8.000.000,NO,FUGA
59,F       ,19.520,52,MED     ,SOL     ,12,13,CALAMA          ,0,8.939,0,0,174,0,278,1,1.800.000,SI,NO FUGA
60,M       ,40.575,46,UNV     ,CAS     ,90,100,SANTIAGO        ,0,1.141.924,0,724.982,3,0,0,2,4.600.000,NO,FUGA
61,M       ,4.539.866,44,UNV     ,CAS     ,53,93,SANTIAGO        ,0,229.320,0,0,0,0,7,1,4.200.000,NO,FUGA
62,M       ,2.823.360,43,UNV     ,CAS     ,24,88,SANTIAGO        ,0,809.182,0,45.608,131,31.748,303,1,5.000.000,NO,FUGA
63,M       ,299.679,50,UNV     ,CAS     ,85,88,SANTIAGO        ,0,38.550,0,305.418,42,0,0,1,7.200.000,NO,FUGA
64,F       ,136.906,35,TEC     ,CAS     ,92,88,SANTIAGO        ,0,246.905,0,93.940,30,3.213,207,1,2.400.000,NO,NO FUGA
65,M       ,352.529,26,UNV     ,SOL     ,25,89,SANTIAGO        ,0,99.092,0,140.192,384,0,273,1,600.000,NO,NO FUGA
66,M       ,1.001.768,40,UNV     ,SEP     ,138,1,ARICA           ,1.416.442,752.132,0,591.974,4.085,0,835,2,6.900.000,NO,FUGA
67,M       ,846.188,40,UNV     ,SEP     ,16,89,SANTIAGO        ,1.515.606,2.334,0,27.996,4.707,17.750,66,2,4.400.000,NO,FUGA
68,M       ,14.787,44,UNV     ,CAS     ,55,90,SANTIAGO        ,0,650.804,0,0,0,0,0,1,2.100.000,NO,FUGA
69,M       ,748.468,40,UNV     ,CAS     ,55,90,SANTIAGO        ,0,1.293,154.112,157.560,120,0,618,2,1.300.000,SI,FUGA
70,F       ,6.190.393,37,TEC     ,SOL     ,20,326,PUNTA ARENAS    ,0,399.081,0,0,85,2.324,0,1,1.700.000,NO,NO FUGA
71,M       ,94.563,47,TEC     ,CAS     ,138,1,ARICA           ,0,46.133,0,0,0,0,14.864,1,2.200.000,SI,FUGA
72,F       ,276.824,57,UNV     ,CAS     ,90,89,SANTIAGO        ,0,396.782,0,0,224,0,1,1,3.200.000,NO,NO FUGA
73,M       ,566.334,45,UNV     ,CAS     ,31,119,SANTIAGO        ,0,206.772,0,0,433,0,0,1,1.700.000,NO,FUGA
74,M       ,279.245,44,MED     ,CAS     ,84,105,SANTIAGO        ,0,6.476,0,78.523,328,481,279,2,3.200.000,NO,FUGA
75,M       ,288.328,44,UNV     ,CAS     ,29,89,SANTIAGO        ,240.688,291.357,0,0,865,4.693,0,2,900.000,NO,NO FUGA
76,M       ,113.021,44,TEC     ,SOL     ,104,93,SANTIAGO        ,0,0,0,61.195,0,627,0,0,2.400.000,NO,NO FUGA
77,M       ,5.363.140,44,UNV     ,CAS     ,55,90,SANTIAGO        ,221.828,17.596,0,4.673,784,0,0,2,900.000,NO,FUGA
78,M       ,229.710,28,TEC     ,SOL     ,18,83,SANTIAGO        ,0,274.243,0,10.664,156,0,1,1,1.800.000,NO,FUGA
79,M       ,473.025,42,UNV     ,CAS     ,19,115,SANTIAGO        ,0,115.101,0,0,6,0,67,1,8.000.000,NO,NO FUGA
80,M       ,491.374,60,MED     ,CAS     ,149,108,SANTIAGO        ,0,108.472,0,87.170,0,0,75,0,3.700.000,NO,NO FUGA
81,M       ,2.251.807,30,MED     ,SOL     ,101,88,SANTIAGO        ,0,873.822,0,314.751,1.159,0,67,1,8.000.000,NO,NO FUGA
82,F       ,1.851.839,37,TEC     ,SOL     ,73,86,SANTIAGO        ,0,424.439,0,0,0,24.243,0,0,3.900.000,NO,NO FUGA
83,F       ,42.526,29,TEC     ,SOL     ,37,88,SANTIAGO        ,0,332.017,0,19.540,188,0,19,1,1.900.000,SI,NO FUGA
84,M       ,290.261,28,MED     ,SOL     ,15,513,CONCON         ,0,587.190,0,0,5,14.251,56,1,1.900.000,NO,NO FUGA
85,M       ,1.690.612,32,TEC     ,SOL     ,90,80,SANTIAGO        ,0,420.275,0,108.064,0,0,59.423,0,8.000.000,NO,NO FUGA
86,M       ,2.717.617,44,MED     ,CAS     ,55,90,SANTIAGO        ,451.869,78.570,0,0,1.012,4.690,0,2,550.000,NO,FUGA
87,M       ,1.387.024,53,TEC     ,CAS     ,84,85,SANTIAGO        ,0,0,0,0,719,2.640,126,2,8.000.000,NO,NO FUGA
88,F       ,646.488,47,TEC     ,CAS     ,40,71,VILLA ALEMANA    ,0,186.218,0,524,112,0,2.436,2,8.000.000,NO,NO FUGA
89,M       ,701.143,43,UNV     ,CAS     ,152,89,SANTIAGO        ,0,393.843,0,389.187,3.285,0,936,3,2.600.000,NO,FUGA
90,F       ,481.863,57,MED     ,CAS     ,34,88,SANTIAGO        ,0,70.088,0,22.567,108,0,7,1,2.400.000,NO,NO FUGA
91,F       ,72.123,36,TEC     ,SOL     ,116,131,RANCAGUA        ,1.381.010,14.626,0,0,2.119,6.621,380,1,1.100.000,SI,NO FUGA
92,M       ,4.995,41,MED     ,CAS     ,55,90,SANTIAGO        ,0,227.829,0,554.883,0,0,5.408,1,7.200.000,SI,FUGA
93,F       ,71.843,46,UNV     ,CAS     ,138,1,ARICA           ,0,597.029,0,0,330,383,0,1,6.100.000,SI,FUGA
94,F       ,517.060,55,UNV     ,SOL     ,24,80,SANTIAGO        ,0,59.487,0,157.138,130,0,0,1,2.200.000,NO,FUGA
95,F       ,880.921,27,TEC     ,CAS     ,100,88,SANTIAGO        ,0,100.945,0,0,3,0,0,1,4.800.000,NO,NO FUGA
96,M       ,476.431,45,MED     ,CAS     ,76,96,SANTIAGO        ,0,30.045,0,0,110,0,0,1,1.900.000,SI,FUGA
97,M       ,37.759,46,UNV     ,CAS     ,55,90,SANTIAGO        ,0,0,0,0,15,0,0,1,1.800.000,NO,FUGA
98,M       ,2.280.308,52,UNV     ,SOL     ,25,88,SANTIAGO        ,1.217.342,0,0,123,1.651,38.089,2.144,2,8.000.000,NO,FUGA
99,F       ,34.909,39,TEC     ,SOL     ,52,103,SANTIAGO        ,0,175.947,0,0,157,0,0,1,1.400.000,SI,NO FUGA
100,M       ,510.623,55,TEC     ,CAS     ,120,113,SANTIAGO        ,0,909.407,0,0,286,32.515,7.534,1,3.300.000,NO,FUGA
101,F       ,27.172,62,MED     ,SOL     ,61,284,OSORNO          ,289.733,0,0,0,880,0,0,1,700.000,SI,NO FUGA
102,M       ,68.573,45,UNV     ,CAS     ,55,90,SANTIAGO        ,0,483.918,0,410,437,0,1.066,2,3.100.000,NO,FUGA
103,M       ,1.136.608,42,UNV     ,CAS     ,55,90,SANTIAGO        ,0,3.016,0,790.285,490,0,7,2,8.000.000,NO,FUGA
104,F       ,487.599,30,UNV     ,CAS     ,74,91,SANTIAGO        ,0,1.709,0,0,35,0,0,1,2.500.000,NO,NO FUGA
105,F       ,54.942,47,TEC     ,SOL     ,10,5,IQUIQUE         ,0,1.561.351,1.808.842,0,208,0,1.674,1,8.000.000,SI,NO FUGA
106,M       ,382.787,46,MED     ,CAS     ,31,118,SANTIAGO        ,0,260.599,0,788.433,681,0,828,1,3.300.000,SI,FUGA
107,M       ,313.480,33,TEC     ,SOL     ,83,88,SANTIAGO        ,0,0,0,0,49,0,287,1,900.000,NO,NO FUGA
108,M       ,490.012,52,UNV     ,SOL     ,27,226,CONCEPCION      ,0,168.370,0,576.412,1.592,0,506,2,800.000,NO,FUGA
109,F       ,477.794,46,UNV     ,SOL     ,138,1,ARICA           ,0,525.197,0,147.712,0,0,14.169,1,3.900.000,NO,FUGA
110,M       ,720.043,53,MED     ,CAS     ,27,226,CONCEPCION      ,0,46.525,0,1.095.071,9,0,33,1,7.300.000,NO,NO FUGA
111,M       ,35.063,31,TEC     ,CAS     ,40,67,VINA DEL MAR    ,0,292.180,0,314.105,0,0,217,0,3.500.000,NO,NO FUGA
112,F       ,58.762,52,MED     ,CAS     ,39,84,SANTIAGO        ,265.674,4.127,0,153.789,862,0,103,2,900.000,NO,NO FUGA
113,M       ,330.251,40,UNV     ,CAS     ,138,1,ARICA           ,0,143,0,194.637,783,0,6,2,2.600.000,NO,FUGA
114,F       ,131.346,49,UNV     ,CAS     ,83,85,SANTIAGO        ,0,238.550,0,110.592,109,26.870,1,1,4.500.000,NO,FUGA
115,M       ,8.362.439,44,UNV     ,CAS     ,55,90,SANTIAGO        ,0,76.703,0,758.807,87,0,797,2,3.200.000,NO,FUGA
116,F       ,630.734,45,MED     ,SOL     ,54,89,SANTIAGO        ,0,122.273,0,0,649,2.743,0,2,4.800.000,NO,NO FUGA
117,F       ,13.130,53,TEC     ,SOL     ,85,88,SANTIAGO        ,0,1.610.674,0,0,7,0,0,1,8.000.000,SI,NO FUGA
118,M       ,24.934,54,UNV     ,CAS     ,39,80,SANTIAGO        ,598.071,368.936,0,371.950,782,0,102,1,1.600.000,SI,FUGA
119,M       ,34.004,40,TEC     ,CAS     ,98,127,TALAGANTE       ,96.820,85.884,0,293.281,122,0,231,1,2.300.000,SI,NO FUGA
120,M       ,425.823,41,MED     ,CAS     ,126,110,SANTIAGO        ,0,316.223,0,0,0,0,4,1,2.000.000,SI,FUGA
121,M       ,2.981,50,MED     ,VIU     ,55,90,SANTIAGO        ,0,62.674,0,129.984,252,0,109,1,4.400.000,NO,FUGA
122,M       ,2.839.338,44,UNV     ,CAS     ,32,91,SANTIAGO        ,0,1.352.808,0,820.004,0,0,1.284,1,5.400.000,NO,FUGA
123,M       ,413.261,39,UNV     ,CAS     ,57,93,SANTIAGO        ,0,241.964,0,278.256,144,0,83,1,1.500.000,NO,NO FUGA
124,M       ,365.138,41,UNV     ,CAS     ,122,95,SANTIAGO        ,0,818.468,0,0,15,0,0,2,3.900.000,NO,NO FUGA
125,M       ,883.985,40,TEC     ,CAS     ,34,29,LA SERENA       ,818.974,609.309,0,337.529,780,4.768,0,2,700.000,NO,NO FUGA
126,M       ,173.451,30,TEC     ,SOL     ,122,98,SANTIAGO        ,0,48.433,0,20.227,93,1.433,53,1,1.400.000,NO,NO FUGA
127,F       ,20.084,50,MED     ,SOL     ,69,53,SAN FELIPE      ,0,1.291.644,0,5.167,48,35.908,0,1,8.000.000,SI,NO FUGA
128,M       ,144.015,39,MED     ,CAS     ,56,138,RENGO           ,0,0,0,98.127,87,0,199,1,5.100.000,NO,NO FUGA
129,F       ,558.058,45,MED     ,CAS     ,108,100,SANTIAGO        ,80.396,21.565,0,0,1.423,0,0,1,700.000,NO,NO FUGA
130,M       ,779.386,48,UNV     ,SEP     ,118,89,SANTIAGO        ,0,306.725,0,56.354,74,107,38,2,3.600.000,NO,FUGA
131,F       ,863.012,30,MED     ,SOL     ,63,300,CASTRO          ,0,424.868,0,0,118,0,0,1,5.500.000,NO,NO FUGA
132,F       ,486.003,34,TEC     ,SOL     ,67,193,CHILLAN         ,71.267,153.871,0,448.195,2.293,0,21.200,1,600.000,NO,NO FUGA
133,M       ,251.542,52,MED     ,CAS     ,138,1,ARICA           ,0,0,0,0,425,0,0,1,2.200.000,NO,FUGA
134,M       ,5.769.103,44,UNV     ,CAS     ,55,90,SANTIAGO        ,0,364.746,0,0,0,0,2.842,1,3.400.000,NO,FUGA
135,F       ,27.483,56,MED     ,SOL     ,21,502,CALAMA    ,195.170,841.316,0,0,64,42.060,0,1,7.900.000,SI,NO FUGA
136,F       ,124.040,50,TEC     ,CAS     ,138,1,ARICA           ,0,387.846,0,0,8,0,0,1,2.800.000,SI,FUGA
137,F       ,87.854,34,TEC     ,CAS     ,50,88,SANTIAGO        ,0,344.787,0,0,132,0,0,1,4.200.000,NO,NO FUGA
138,M       ,136.704,40,UNV     ,CAS     ,31,119,SANTIAGO        ,0,143.607,0,104.936,744,0,12,2,1.700.000,NO,FUGA
139,M       ,1.663.762,47,UNV     ,CAS     ,138,1,ARICA           ,0,191.595,0,125.765,0,0,1,1,8.000.000,NO,FUGA
140,M       ,1.300.789,52,TEC     ,SOL     ,14,16,ANTOFAGASTA     ,0,650.514,0,0,0,7.389,0,1,8.000.000,NO,NO FUGA
141,M       ,488.478,45,UNV     ,CAS     ,129,106,SANTIAGO        ,0,205.687,0,0,2,0,0,1,2.200.000,NO,FUGA
142,M       ,697.230,33,UNV     ,CAS     ,48,89,SANTIAGO        ,0,19.995,0,0,1,0,0,1,2.200.000,NO,NO FUGA
143,M       ,519.811,37,UNV     ,CAS     ,84,90,SANTIAGO        ,0,443.945,0,0,77,0,0,1,4.500.000,NO,NO FUGA
144,M       ,3.586,45,MED     ,CAS     ,55,90,SANTIAGO        ,0,72.834,0,0,9,1.391,0,1,6.000.000,NO,FUGA
145,M       ,624.021,47,UNV     ,CAS     ,61,90,SANTIAGO        ,964.309,0,0,566.320,993,0,423,2,2.400.000,NO,FUGA
146,F       ,636.035,34,TEC     ,CAS     ,16,91,SANTIAGO        ,0,522.864,0,0,0,25.003,0,0,3.500.000,NO,NO FUGA
147,M       ,109.980,35,UNV     ,CAS     ,129,105,SANTIAGO        ,0,4.125,0,42.363,96,620,382,1,1.600.000,NO,NO FUGA
148,F       ,486.653,53,MED     ,CAS     ,10,5,IQUIQUE         ,0,0,92.149,0,846,0,14.122,3,8.000.000,NO,NO FUGA
149,M       ,686.641,40,TEC     ,CAS     ,104,105,SANTIAGO        ,241.245,2.350,0,94.880,771,7.504,651,2,1.400.000,NO,FUGA
150,F       ,296.519,50,MED     ,CAS     ,45,80,SANTIAGO        ,0,0,0,0,1.442,0,13,1,1.900.000,NO,NO FUGA
151,M       ,1.747.096,64,UNV     ,CAS     ,78,184,COLBUN          ,0,251.206,0,94.750,4.450,0,1,2,8.000.000,NO,NO FUGA
152,F       ,1.291.628,51,TEC     ,SEP     ,138,93,SANTIAGO        ,0,19.549,0,0,497,48.173,336,3,8.000.000,NO,FUGA
153,M       ,363.666,55,TEC     ,CAS     ,27,226,CONCEPCION      ,0,103.739,0,0,5,0,0,1,4.600.000,NO,FUGA
154,F       ,444.782,26,TEC     ,SOL     ,90,110,SANTIAGO        ,0,1.702,0,0,9,0,0,1,1.800.000,SI,NO FUGA
155,F       ,2.122,47,TEC     ,SOL     ,37,80,SANTIAGO        ,0,11.217,170.891,15.261,1.948,0,1.259,1,650.000,SI,NO FUGA
156,F       ,126.114,27,TEC     ,SOL     ,45,128,PENAFLOR        ,0,14.037,0,114.675,0,0,108,0,1.700.000,NO,NO FUGA
157,F       ,875.750,33,UNV     ,CAS     ,27,226,CONCEPCION      ,0,373.883,0,23.713,65,0,0,1,4.700.000,NO,FUGA
158,F       ,764.461,53,UNV     ,CAS     ,45,88,SANTIAGO        ,0,587.987,0,319.411,0,0,43,1,5.000.000,NO,FUGA
159,M       ,560.529,48,UNV     ,CAS     ,74,272,VALDIVIA        ,0,46.764,0,297.061,45,0,644,1,2.600.000,NO,NO FUGA
160,M       ,42.036,55,UNV     ,CAS     ,55,90,SANTIAGO        ,598.189,388.656,0,32.710,1.076,7.644,83,1,5.800.000,NO,FUGA
161,M       ,1.385.344,35,UNV     ,CAS     ,66,253,TEMUCO          ,2.298.850,236.967,80.800,0,1.585,0,80,1,5.100.000,NO,NO FUGA
162,M       ,352.410,30,MED     ,CAS     ,27,226,CONCEPCION      ,0,68.133,0,246.995,167,0,75,2,1.700.000,NO,FUGA
163,F       ,506.780,41,MED     ,CAS     ,51,88,SANTIAGO        ,0,0,0,0,0,0,10,0,2.100.000,NO,NO FUGA
164,F       ,3.708.456,28,BAS     ,SOL     ,68,226,CONCEPCION      ,0,0,0,0,1,1.433,973,1,2.000.000,NO,NO FUGA
165,M       ,553.960,37,MED     ,CAS     ,84,90,SANTIAGO        ,0,1.988,0,0,153,0,0,1,4.500.000,NO,NO FUGA
166,F       ,26.420,50,MED     ,SOL     ,139,85,SANTIAGO        ,0,2.314.605,0,0,0,37.215,0,0,8.000.000,SI,NO FUGA
167,M       ,2.805.283,42,MED     ,CAS     ,83,92,SANTIAGO        ,839.832,74.253,0,1.310.686,975,952,27.240,1,8.000.000,NO,NO FUGA
168,M       ,734.582,40,UNV     ,SOL     ,138,1,ARICA           ,0,344.321,0,0,496,0,444,1,3.100.000,NO,FUGA
169,F       ,104.793,48,MED     ,CAS     ,24,87,SANTIAGO        ,0,0,0,341.008,0,0,390,0,2.700.000,NO,NO FUGA
170,F       ,68.405,32,TEC     ,CAS     ,31,119,SANTIAGO        ,21.944,460.806,0,0,491,6.751,0,1,1.900.000,NO,NO FUGA
171,M       ,449.696,53,UNV     ,SOL     ,27,226,CONCEPCION      ,0,41.400,0,95.303,171,0,372,1,3.500.000,NO,FUGA
172,M       ,166.128,42,MED     ,CAS     ,138,1,ARICA           ,0,0,0,0,0,0,2.795,1,2.800.000,NO,FUGA
173,F       ,1.546.277,31,TEC     ,VIU     ,67,226,CONCEPCION      ,0,325.570,0,0,333,0,53,1,2.300.000,NO,NO FUGA
174,M       ,4.796.337,43,UNV     ,CAS     ,53,80,SANTIAGO        ,0,1.256,0,273.605,409,0,23,3,1.300.000,NO,FUGA
175,M       ,511.493,47,UNV     ,CAS     ,122,97,SANTIAGO        ,0,305.575,0,137.626,250,2.436,423,2,1.800.000,NO,FUGA
176,F       ,1.159.911,35,TEC     ,SEP     ,102,91,SANTIAGO        ,0,330.643,0,0,31,0,0,1,2.000.000,NO,NO FUGA
177,M       ,237.667,51,MED     ,CAS     ,124,253,TEMUCO          ,0,1.126.494,0,117,2.082,3.542,0,2,800.000,NO,NO FUGA
178,M       ,277.757,49,UNV     ,CAS     ,25,88,SANTIAGO        ,0,0,0,0,98,0,0,1,2.300.000,NO,NO FUGA
179,M       ,646.399,50,MED     ,CAS     ,138,1,ARICA           ,0,273.138,0,0,2.786,0,118,3,2.600.000,NO,FUGA
180,F       ,5.645,44,UNV     ,SOL     ,29,90,SANTIAGO        ,0,45.993,0,82.676,352,0,157,2,3.400.000,NO,FUGA
181,M       ,242.897,31,MED     ,CAS     ,27,226,CONCEPCION      ,0,178.708,0,147.790,118,0,1.111,1,2.300.000,NO,FUGA
182,M       ,1.227.273,38,MED     ,CAS     ,59,88,SANTIAGO        ,0,0,0,0,6,0,0,1,7.500.000,NO,NO FUGA
183,M       ,1.681.477,46,TEC     ,CAS     ,41,103,SANTIAGO        ,906.387,345.609,0,589.680,11.187,0,405,1,3.700.000,NO,NO FUGA
184,M       ,698.435,55,UNV     ,SOL     ,138,1,ARICA           ,807.625,37.361,0,380.806,1.828,0,395,1,4.500.000,SI,FUGA
185,M       ,842.371,35,MED     ,CAS     ,72,504,DIEGO DE ALMAGRO     ,0,23.200,0,0,111,1.400,457,1,8.000.000,NO,NO FUGA
186,F       ,230.970,42,TEC     ,SOL     ,13,16,ANTOFAGASTA     ,0,0,0,0,236,5.698,386,1,1.600.000,NO,NO FUGA
187,M       ,305.258,24,UNV     ,CAS     ,90,128,PENAFLOR        ,0,21.321,0,15.557,188,0,10,1,1.600.000,NO,NO FUGA
188,F       ,1.480.598,36,TEC     ,VIU     ,39,88,SANTIAGO        ,0,0,0,0,197,0,0,1,8.000.000,NO,NO FUGA
